"id","latitude","longitude","elevation","state","name"
"RSM00023724","62.4300","60.8694","51.0","","NJAKSIMVOL"
"RSM00023734","62.4500","66.0500","70.0","","OKTYABR SKOYE"
"RSM00023803","61.6830","53.6830","144.0","","UST-KULOM"
"RSM00023804","61.6667","50.8667","116.0","","SYKTYVKAR"
"RSM00023813","61.8000","57.9170","174.0","","UST-UNJA"
"RSM00023847","61.3000","71.3000","33.4","","SYTOMINO"
"RSM00023849","61.2500","73.5000","55.0","","SURGUT"
"RSM00023867","61.1000","80.2500","55.0","","LARYAK"
"RSM00023884","61.6000","90.0167","62.0","","BOR"
"RSM00023891","61.6667","96.3667","256.0","","BAJKIT"
"RSM00023904","60.4500","50.9700","124.0","","KOIGORODOK"
"RSM00023909","60.2830","54.3500","198.0","","GAJNY"
"RSM00023914","60.4000","56.5200","208.0","","CHERDYN'"
"RSM00023921","60.6831","60.4500","93.0","","IVDEL"
"RSM00023929","60.3170","64.2170","53.0","","SAIM"
"RSM00023933","61.0167","69.1167","46.0","","HANTY-MANSIJSK"
"RSM00023946","60.5000","74.0200","47.0","","UGUT"
"RSM00023955","60.4331","77.8667","47.0","","ALEKSANDROVSKOE"
"RSM00023966","60.3500","84.0800","98.0","","VANZIL-KYNAK"
"RSM00023973","61.0000","89.6000","49.0","","VOROGOVO"
"RSM00023975","60.3500","88.3670","86.0","","SYM"
"RSM00023982","61.0200","93.4200","122.0","","VELMO"
"RSM00023986","60.3800","93.0300","513.0","","SEVERO-ENISEJSK"
"RSM00023987","60.2500","90.2330","58.0","","JARCEVO"
"RSM00024076","69.3300","139.6697","282.0","","DEPUTATSKIJ"
"RSM00024105","68.4700","102.3700","272.0","","ESSEJ"
"RSM00024125","68.5000","112.4331","217.0","","OLENEK"
"RSM00024136","68.6200","118.3300","78.0","","SUHANA"
"RSM00024143","68.7300","124.0000","38.0","","DZARDZAN"
"RSM00024197","68.2330","145.3000","152.0","","DRUZINA"
"RSM00024266","67.5667","133.4000","136.0","","VERHOJANSK"
"RSM00024329","66.2500","114.2800","233.0","","SELAGONCY"
"RSM00024343","66.7667","123.4000","88.0","","ZHIGANSK"
"RSM00024371","66.8000","136.6800","274.0","","UST-CHARKY"
"RSM00024382","66.4500","143.2297","195.0","","UST-MOMA"
"RSM00024477","65.3000","135.6700","674.0","","IEMA"
"RSM00024507","64.2667","100.2331","188.0","","TURA"
"RSM00024538","64.2300","116.9200","137.0","","CHUMPURUK"
"RSM00024561","65.0000","130.6830","737.0","","SYURYUN-KYUYEL"
"RSM00024585","64.5660","143.2000","523.0","","UST-NERA"
"RSM00024598","64.1670","148.0330","845.0","","DARPIR"
"RSM00024606","63.5800","103.9700","209.0","","KISLOKAN"
"RSM00024639","63.2830","118.3330","119.0","","NJURBA"
"RSM00024641","63.7831","121.6167","110.0","","VILJUJSK"
"RSM00024643","63.9500","124.8300","76.0","","HATYRYK-HOMO"
"RSM00024652","63.9670","127.4670","96.0","","SANGARY"
"RSM00024656","63.5170","129.4830","79.0","","BATAMAJ"
"RSM00024661","64.0000","130.3000","208.0","","SEGEN-KYUEL"
"RSM00024671","63.9500","135.8700","399.0","","TOMPO"
"RSM00024678","63.1300","138.2800","554.0","","ZAPADNAYA"
"RSM00024679","63.2200","139.6000","1286.0","","VOSTOCHNAJA"
"RSM00024688","63.2500","143.1500","740.0","","OJMJAKON"
"RSM00024713","62.8800","108.4300","246.0","","NAKANNO"
"RSM00024724","63.0000","112.3000","422.0","","CHERNISHEVSKII"
"RSM00024725","62.5300","111.2300","228.0","","TUOY-KHAYA"
"RSM00024726","62.5000","113.9000","351.0","","MIRNYJ"
"RSM00024738","62.1500","117.6500","131.0","","SUNTAR"
"RSM00024763","62.8000","134.4000","119.0","","KREST-HALDZHAY"
"RSM00024768","62.0330","132.6000","186.0","","CURAPCA"
"RSM00024790","62.7800","148.1700","646.0","","SUSUMAN"
"RSM00024802","61.7000","102.7000","357.0","","STRELKA CHUNJA"
"RSM00024817","61.2667","108.0167","284.0","","ERBOGACEN"
"RSM00024856","61.4830","129.1500","115.0","","POKROVSKAJA"
"RSM00024891","61.8830","147.3500","670.0","","KULU"
"RSM00024908","60.3331","102.2667","259.0","","VANAVARA"
"RSM00024918","60.0670","107.9670","292.0","","PREOBRAZENKA"
"RSM00024923","60.7200","114.8800","241.0","","LENSK"
"RSM00024933","60.9500","119.3000","247.0","","KILEER"
"RSM00024944","60.4000","120.4167","223.0","","OLEKMINSK"
"RSM00024951","60.8167","125.3167","117.0","","ISIT"
"RSM00024959","62.0167","129.7167","98.0","","JAKUTSK"
"RSM00024962","60.9000","131.9830","146.0","","AMGA"
"RSM00024966","60.3831","134.4497","169.0","","UST-MAJA"
"RSM00024967","60.4700","130.0000","173.0","","TEGJULTJA"
"RSM00024982","60.7200","142.7800","396.0","","UEGA"
"RSM00024988","60.0830","142.3330","198.0","","ARKA"
"RSM00025034","69.6200","162.3000","24.0","","BUHTA AMBARCIK"
"RSM00025042","69.9300","167.9800","13.0","","OSTROV AION"
"RSM00025062","69.8797","175.7700","2.0","","MYS BILLINGSA"
"RSM00025123","68.7500","161.2830","28.0","","CHERSKIJ"
"RSM00025138","68.1200","164.1700","98.0","","OSTROVNOE"
