"id","latitude","longitude","elevation","state","name"
"KZ000035549","48.2500","62.0000","74.0","","TAUP"
"KZ000035563","48.6500","67.0000","632.0","","ULUTAU"
"KZ000035576","48.2994","69.6994","362.0","","KZYLZAR"
"KZ000035582","48.7000","71.6330","488.0","","ATASU"
"KZ000035594","48.3000","72.9000","689.0","","AGADIR"
"KZ000035605","47.6670","51.5830","-15.0","","MAHAMBET"
"KZ000035608","47.4000","51.2000","-22.0","","NOVOBOGATINO"
"KZ000035633","47.8500","59.6170","176.0","","CELKAR"
"KZ000035635","47.7000","58.4670","511.0","","TEREN-KUDUK"
"KZ000035656","47.6000","64.2000","115.0","","KUL'JAMBAY"
"KZ000035663","47.8331","66.7500","488.0","","KARSAKPAJ"
"KZ000035671","47.8000","67.7170","346.0","","ZHEZKAZGAN"
"KZ000035683","47.9000","71.5000","796.0","","KZILTAU"
"KZ000035687","47.4000","70.7000","467.0","","KOKTAS"
"KZ000035699","47.4500","74.8170","620.0","","BEKTAUATA"
"KZ000035700","47.1167","51.9167","-22.0","","ATYRAU"
"KZ000035705","46.9000","51.7000","-28.0","","PESNOY"
"KZ000035707","46.7500","50.2000","-23.0","","ZABURUNYE/ISATAY"
"KZ000035715","46.9000","54.1000","18.0","","KULSARY"
"KZ000035721","47.0330","55.1330","45.0","","ZAMBIKE"
"KZ000035739","46.7000","59.0000","114.0","","AJK-KUM"
"KZ000035742","47.0830","61.1670","79.0","","SAKSAULSKI"
"KZ000035746","46.7794","61.6694","62.0","","ARALSKOE MORE"
"KZ000035749","46.7170","62.5000","80.0","","MONSYR"
"KZ000035756","46.8830","64.6670","79.0","","KARA-KUM"
"KZ000035777","46.7000","68.3000","276.0","","JETY-KONUR"
"KZ000035791","47.2000","73.3500","581.0","","MOINTY"
"KZ000035796","46.8000","75.0831","350.0","","BALHASH"
"KZ000035816","46.2000","54.5000","-4.0","","OPORNA'J"
"KZ000035822","46.3000","55.9000","28.0","","DGUKARA"
"KZ000035847","45.9830","61.0670","60.0","","IMENI SHAVCHEMKO"
"KZ000035849","45.7670","62.1170","68.0","","KAZALINSK"
"KZ000035866","46.1000","67.2000","189.0","","SINGIRTEK"
"KZ000035884","46.0300","70.2000","328.0","","BETPAK-DALA"
"KZ000035895","46.1000","73.6000","358.0","","SARISAGAN"
"KZ000035907","45.0170","50.0330","-22.0","","KULALY ISLAND"
"KZ000035925","45.4000","56.2000","82.0","","SAM"
"KZ000035927","45.1000","55.0000","74.0","","BEJNEU"
"KZ000035941","45.6830","59.9170","80.0","","BARSAKELMES ISLAND"
"KZ000035951","45.7000","62.9000","75.0","","KAZALINSKIY_ZERNOSOVHOZ"
"KZ000035953","45.5000","64.0830","103.0","","DZHUSALY"
