STATION,DATE,DP01,DP01_ATTRIBUTES,DP05,DP05_ATTRIBUTES,DP10,DP10_ATTRIBUTES,DSND,DSND_ATTRIBUTES,DSNW,DSNW_ATTRIBUTES,DT00,DT00_ATTRIBUTES,DT32,DT32_ATTRIBUTES,DX32,DX32_ATTRIBUTES,DX70,DX70_ATTRIBUTES,DX90,DX90_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES
UPM00033587,1965,121,E,,,56,E,,,,,8,E,152,E,63,E,99,E,0,E,608.5," ,E",,
UPM00033587,1966,165,E,,,78,E,,,,,2,E,107,E,42,E,112,E,3,E,988.4," ,E",,
UPM00033587,1967,146,E,,,64,E,,,,,17,E,133,E,63,E,116,E,1,E,557.7," ,E",,
UPM00033587,1968,144,E,,,68,E,,,,,8,E,139,E,73,E,113,E,2,E,708.6," ,E",,
UPM00033587,1969,132,E,,,60,E,,,,,22,E,152,E,87,E,99,E,0,E,538.7," ,E",,
UPM00033587,1970,168,E,,,86,E,,,,,4,E,127,E,46,E,102,E,0,E,898.5," ,E",,
UPM00033587,1971,162,E,,,69,E,,,,,0,E,132,E,47,E,92,E,2,E,703," ,E",,
UPM00033587,1972,113,E,,,54,E,,,,,21,E,140,E,55,E,126,E,0,E,571.7," ,E",,
UPM00033587,1973,130,E,,,59,E,,,,,8,E,144,E,57,E,98,E,1,E,585.8," ,E",,
UPM00033587,1974,133,E,,,56,E,,,,,4,E,123,E,40,E,103,E,0,E,544.2," ,E",,
UPM00033587,1975,114,E,,,49,E,,,,,0,E,133,E,28,E,140,E,1,E,438.2," ,E",,
UPM00033587,1976,151,E,,,63,E,,,,,18,E,132,E,65,E,80,E,0,E,503.9," ,E",,
UPM00033587,1977,0,E,,,0,E,,,,,10,E,124,E,45,E,94,E,0,E,0," ,E",,
UPM00033587,1978,0,E,,,0,E,,,,,10,E,124,E,58,E,82,E,0,E,0," ,E",,
UPM00033587,1979,0,E,,,0,E,,,,,6,E,134,E,51,E,118,E,3,E,0," ,E",,
UPM00033587,1980,0,E,,,0,E,,,,,5,E,149,E,71,E,78,E,0,E,0," ,E",,
UPM00033587,1981,0,E,,,0,E,,,,,2,E,133,E,46,E,113,E,4,E,0," ,E",,
UPM00033587,1982,0,E,,,0,E,,,,,0,E,125,E,36,E,104,E,0,E,0," ,E",,
UPM00033587,1983,0,E,,,0,E,,,,,1,E,119,E,42,E,134,E,0,E,0," ,E",,
UPM00033587,1984,153,E,,,65,E,,,,,2,E,144,E,81,E,97,E,0,E,717.4," ,E",,
UPM00033587,1985,137,E,,,64,E,,,,,33,E,142,E,84,E,109,E,0,E,607.9," ,E",,
UPM00033587,1986,109,E,,,45,E,,,,,7,E,140,E,71,E,116,E,0,E,436.5," ,E",,
UPM00033587,1987,126,E,,,52,E,,,,,23,E,147,E,84,E,88,E,2,E,489.6," ,E",,
UPM00033587,1988,119,E,,,61,E,,,,,3,E,145,E,55,E,105,E,1,E,644.5," ,E",,
UPM00033587,1989,119,E,,,54,E,,,,,1,E,90,E,26,E,108,E,2,E,674.9," ,E",,
UPM00033587,1990,114,E,,,54,E,,,,,0,E,90,E,24,E,100,E,1,E,621.2," ,E",,
UPM00033587,1991,134,E,,,64,E,,,,,4,E,132,E,57,E,102,E,0,E,653.1," ,E",,
UPM00033587,1992,147,E,,,57,E,,,,,1,E,129,E,55,E,99,E,7,E,555.3," ,E",,
UPM00033587,1993,135,E,,,69,E,,,,,3,E,125,E,54,E,98,E,3,E,590.8," ,E",,
UPM00033587,1994,118,E,,,44,E,,,,,5,E,121,E,40,E,120,E,3,E,491.5," ,E",,
UPM00033587,1995,124,E,,,55,E,,,,,3,E,136,E,57,E,120,E,0,E,537.4," ,E",,
UPM00033587,1996,134,E,,,74,E,,,,,13,E,114,E,81,E,112,E,4,E,710.4," ,E",,
UPM00033587,1997,126,E,,,64,E,,,,,7,E,136,E,47,E,106,E,0,E,734.5," ,E",,
UPM00033587,1998,135,E,,,64,E,,,,,8,E,126,E,57,E,107,E,5,E,671.8," ,E",,
UPM00033587,1999,140,E,,,63,E,,,,,1,E,128,E,35,E,127,E,10,E,551.2," ,E",,
UPM00033587,2000,148,E,,,64,E,,,,,2,E,108,E,35,E,115,E,4,E,682.9," ,E",,
UPM00033587,2001,124,E,,,55,E,,,,,2,E,127,E,50,E,119,E,11,E,662.7," ,E",,
UPM00033587,2002,128,E,,,51,E,,,,,1,E,109,E,48,E,115,E,6,E,583.7," ,E",,
UPM00033587,2003,118,E,,,55,E,,,,,8,E,133,E,57,E,127,E,1,E,532.1," ,E",,
UPM00033587,2004,132,E,,,58,E,,,,,0,E,107,E,48,E,104,E,0,E,598.6," ,E",,
UPM00033587,2005,113,E,,,57,E,,,,,3,E,122,E,45,E,123,E,5,E,611.7," ,E",,
UPM00033587,2006,119,E,,,58,E,,,,,12,E,113,E,54,E,111,E,3,E,494.6," ,E",,
UPM00033587,2007,108,E,,,45,E,,,,,0,E,108,E,31,E,129,E,30,E,415.9," ,E",,
UPM00033587,2008,124,E,,,58,E,,,,,0,E,97,E,40,E,110,E,15,E,516.3," ,E",,
UPM00033587,2009,117,E,,,58,E,,,,,5,E,99,E,43,E,128,E,7,E,523.5," ,E",,
UPM00033587,2010,140,E,,,75,E,,,,,6,E,120,E,68,E,125,E,26,E,753," ,E",,
